FIPS,insurance,cancer,UrbanIntense,NoInternet,UNEMP,singleparent,LimEnglish,Housing_T,NDVI,VacantH,asthma,X,Y
21145,9.6,6.6,0.012,0.215,0.2745,0.6065,0.297,0.5473,0.544233333,0.127,10.6,-88.71271926,37.05407932
21147,15.2,6.5,0.001,0.403,0.9908,0.1573,0.4187,0.9144,0.715875556,0.173,12.1,-84.48417454,36.73714156
21149,10.4,6.6,0.001,0.251,0.7347,0.4518,0,0.2251,0.725111538,0.113,10.8,-87.26360425,37.52918995
21151,9.2,6.6,0.01,0.182,0.6831,0.4712,0.297,0.5899,0.680119149,0.09,10.9,-84.277998,37.72018351
21153,13.2,6.5,0.001,0.296,0.9672,0.2665,0,0.8879,0.729806061,0.162,12.1,-83.06491454,37.70647415
21155,12.1,6.5,0.002,0.274,0.901,0.8383,0.3582,0.8379,0.584592308,0.1,11.4,-85.26963138,37.55253447
21157,9.6,6.6,0.005,0.194,0.5006,0.1936,0,0.4263,0.155480556,0.17,10.4,-88.32938053,36.88344659
21159,13.8,6.5,0.004,0.28,0.9799,0.1706,0.1477,0.9799,0.764391667,0.219,11.3,-82.51329251,37.80157721
21161,10.7,6.7,0.005,0.278,0.4876,0.4518,0.5492,0.7237,0.468180769,0.176,11,-83.82424515,38.59517299
21163,10,6.5,0.002,0.141,0.7481,0.1812,0.0707,0.426,0.657777778,0.144,10.3,-86.21717864,37.96983917
21165,12.3,6.6,0.001,0.317,0.6376,0.2537,0,0.4314,0.45335,0.333,11.4,-83.59887192,37.94137797
21167,10.4,6.6,0.003,0.233,0.9054,0.1936,0.4187,0.1369,0.722638462,0.154,10.8,-84.87443669,37.81103079
21169,12.4,6.6,0.001,0.227,0.4876,0.6832,0.227,0.3133,0.651806897,0.157,11.8,-85.62925109,36.99054179
21171,12.6,6.6,0.002,0.298,0.6207,0.2069,0.297,0.5979,0.703034211,0.158,11.5,-85.71651958,36.71218028
21173,11.3,6.6,0.006,0.248,0.6697,0.9268,0.297,0.7065,0.566927273,0.121,11.4,-83.91308898,38.0335228
21175,13.5,6.5,0.001,0.304,0.5669,0.7112,0,0.9819,0.553042857,0.172,11.5,-83.25889313,37.92228091
21177,11.8,6.5,0.003,0.274,0.8895,0.3435,0.0707,0.4791,0.251717647,0.178,11.3,-87.14204166,37.21579227
21179,9.3,6.5,0.004,0.174,0.5344,0.6234,0.1477,0.2697,0.622906977,0.074,10.7,-85.46598859,37.80513127
21181,12.5,6.6,0.001,0.371,0.7481,0.3961,0.3582,0.8459,0.634868182,0.176,11.8,-84.0153305,38.33559782
21183,11.7,6.5,0.001,0.283,0.901,0.5053,0.1477,0.2101,0.510645902,0.123,11.1,-86.8488902,37.47819168
